cik,sic,company,loc
0000826488,6189,"MORTGAGE SECURITIES III TRUSTS E",CA
0000826595,6189,"TECHNOLOGY FUNDING VENTURE PARTNERS IV",CA
0000828740,6189,"MOUNTAIN STATES GUARANTY MORTGAGE CO",CO
0000829281,6189,"LEHMAN ABS CORP",NY
0000830379,6189,"CHASE MORTGAGE FINANCE CORP",NJ
0000830431,6189,"MORTGAGE SECURITIES III TRUSTS F",CA
0000830753,6189,"CHASE MANHATTAN BANK USA NATIONAL ASSOCIATION",DE
0000832087,6189,"SRFG INC",DE
0000832091,6189,"KRUPP INSURED PLUS III LIMITED PARTNERSHIP",MA
0000832095,6189,"KRUPP INSURED MORTGAGE LIMITED PARTNERSHIP",MA
0000832329,6189,"CHASE MANHATTAN ACCEPTANCE CORP /DE/",NJ
0000832500,6189,"FIRST USA BANK N A",DE
0000833210,6189,"JCP RECEIVABLES INC",TX
0000833374,6189,"PREMIER ACCEPTANCE CORP /MN/",MN
0000834163,6189,"CREDIT SUISSE FIRST BOSTON MORTGAGE ACCEPTANCE CORP",NY
0000835271,6189,"JPMorgan Chase Bank, N.A.",OH
0000837757,6189,"TRANSAMERICA OCCIDENTAL LIFE INSURANCE CO /CA/",CA
0000838440,6189,"FIA Card Services, National Association",DE
0000839424,6189,"CITICORP NORTH AMERICA INC",NY
0000839461,6189,"JHM ACCEPTANCE CORP",DE
0000839849,6189,"PRUDENTIAL SECURITIES SECURED FINANCING CORP",NY
0000839947,6189,"CITIBANK SOUTH DAKOTA N A",NY
0000839948,6189,"CITIBANK NEVADA NATIONAL ASSOCIATION",SD
0000840253,6189,"HOUSING SECURITIES INC /NY/",NY
0000841129,6189,"INLAND MORTGAGE INVESTORS FUND III LP",IL
0000841535,6189,"GOVERNMENT BACKED TRUST T-1",NY
0000841536,6189,"GOVERNMENT BACKED TRUST T-2",NY
0000841537,6189,"GOVERNMENT BACKED TRUST T-3",NY
0000841975,6189,"GATEWAY MORTGAGE ACCEPTANCE CORP",IL
0000842810,6189,"HIBERNIA NATIONAL BANK",LA
0000842814,6189,"GOVERNMENT SECURITIES TRUST J 1",NY
0000842907,6189,"GOVERNMENT BACKED TRUST T 4",NY
0000844217,6189,"TECHNOLOGY FUNDING SECURED INVESTORS III",CA
0000844327,6189,"AMERICA FIRST PREP FUND 2 LIMITED PARTNERSHIP",NE
0000844414,6189,"NYLIFE GOVERNMENT MORTGAGE PLUS LTD PARTNERSHIP",NY
0000846607,6189,"BEAR STEARNS ASSET BACKED INVESTORS CORP",NY
0000847433,6189,"CML CHURCH MORTGAGE INC",TX
0000850779,6189,"WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC",NC
0000854498,6189,"MERRILL LYNCH HOME EQUITY ACCEPTANCE INC",FL
0000854760,6189,"PROVIDIAN NATIONAL BANK /NEW/",NH
0000856139,6189,"GOVERNMENT TRUST M 1",NY
0000856417,6189,"CHEVY CHASE BANK FSB",MD
0000856932,6189,"FIRST AMERICAN BANK OF VA",VA
0000857098,6189,"PAINEWEBBER INSURED MORTGAGE PARTNERS 1-B L P",MA
0000857344,6189,"ROYALTY MORTGAGE INCOME FUND II",CA
0000862026,6189,"DELTA FUNDING CORP /DE/",NY
0000863491,6189,"WELLS FARGO BANK IOWA NATIONAL ASSOCIATION",IA
0000863656,6189,"HOMESIDE MORTGAGE SECURITIES INC /DE/",FL
0000863856,6189,"FIRST CHICAGO MASTER TRUST II",DE
0000863899,6189,"FIRST CHURCH FINANCING CORP",WI
0000864602,6189,"ROYALTY MORTGAGE INCOME FUNDS III",CA
0000864603,6189,"ROYALTY MORTGAGE INCOME FUNDS IV",CA
0000864604,6189,"ROYALTY MORTGAGE INCOME FUNDS V",CA
0000866467,6189,"BANK OF THE WEST /CA/",CA
0000866753,6189,"MORTGAGE SECURITIES TRUST CMO SERIES I",NY
0000867203,6189,"CML CHURCH MORTGAGE TRUST 1990 RATED SERIES A-1",TX
0000867961,6189,"NAVISTAR FINANCIAL SECURITIES CORP",IL
0000869090,6189,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",OH
0000869504,6189,"SPARDEES REALTY INC",CA
0000869739,6189,"GMAC AUTO RECEIVABLES CORP",DE
0000870490,6189,"CAPITOL HOME EQU LN TR 1990-1 CA HM EQ LN AS BK CE SE 1990-1",MD
0000870496,6189,"GOVERNMENT TRUST G 2",NY
0000870872,6189,"SECURITY PACIFIC HOME EQUITY TRUST 1991-A",MD
0000871663,6189,"FLEETWOOD CREDIT RECEIVABLES CORP",CA
0000872108,6189,"CONTITRADE SERVICES CORP",NY
0000872471,6189,"Ford Credit Floorplan Corp",MI
0000872551,6189,"GMAC 1991-A GRANTOR TRUST",MI
0000872552,6189,"GMAC 1991-B GRANTOR TRUST",MI
0000872553,6189,"GMAC 1991-C GRANTOR TRUST",MI
0000873446,6189,"CARCO AUTO LOAN MASTER TRUST",MI
0000874256,6189,"MERRILL LYNCH MORTGAGE CAPITAL INC",NY
0000874264,6189,"CHASE MANHATTAN CREDIT CARD MASTER TRUST",DE
0000877157,6189,"PIPER MORTGAGE ACCEPTANCE CORP",MN
0000877800,6189,"SCFC RECREATIONAL VEHICLE LOAN TRUST 1991-1",DE
0000877829,6189,"MBNA AMERICA BK NAT ASSOC MBNA MASTER CREDIT CARD TRUST",DE
0000878032,6189,"NISSAN AUTO RECEIVABLES CORP /DE",CA
0000878235,6189,"COMMERCIAL MORTGAGE RESOURCES CORP",AZ
0000878517,6189,"CAPSTEAD SECURITIES CORPORATION IV",TX
0000878640,6189,"DISCOVER CARD TRUST 1991 B",DE
0000878721,6189,"GOVERNMENT TRUST PH-1",NY
0000879765,6189,"DISCOVER CARD TRUST 1991 C",DE
0000879766,6189,"DISCOVER CARD TRUST 1991 D",DE
0000880648,6189,"DISCOVER CARD TRUST 1991 E",DE
0000880649,6189,"DISCOVER CARD TRUST 1991 F",DE
0000880996,6189,"MONEY STORE D C INC",CA
0000882135,6189,"FORD CREDIT AUTO LOAN MASTER TRUST",MI
0000882234,6189,"GMAC 1992-A GRANTOR TRUST",MI
0000882239,6189,"GMAC 1992-C GRANTOR TRUST",MI
0000882240,6189,"GMAC 1992-D GRANTOR TRUST",MI
0000882243,6189,"GMAC 1992-F GRANTOR TRUST",MI
0000882253,6189,"STRUCTURED ASSET MORTGAGE INVESTMENTS INC",NY
0000882590,6189,"NAVISTAR FINANCIAL RETAIL RECEIVABLES CORP",IL
0000884033,6189,"FIRST BOSTON MORTGAGE SEC CORP CON MOR PAS THR CER SE 1992-1",CA
0000884099,6189,"CARGILL FINANCIAL SERVICES CORP",MN
0000884936,6189,"SCFC BOAT LOAN TRUST 1992-1",DE
0000886193,6189,"PRUDENTIAL BANK & TRUST CO /GA/",GA
0000887507,6189,"CMC SECURITIES CORP IV",TX
0000887508,6189,"CMC SECURITIES CORP III",TX
0000887616,6189,"AMERICAN EXPRESS MASTER TRUST",NY
0000887617,6189,"AMERICAN EXPRESS RECEIVABLES FINANCING CORP",NY
0000888859,6189,"COLLATERAL INVESTMENT CORP",AL
0000888874,6189,"NOMURA ASSET ACCEPTANCE CORP",NY
0000888945,6189,"FIRST CONSUMERS NATIONAL BANK",OR
0000889416,6189,"FIRESTONE RETAIL CREDIT CORP",MA
0000889417,6189,"ASSET SECURITIZATION CORP",NY
0000889472,6189,"DYNEX SECURITIES CORP",VA
0000889474,6189,"EXPORT FUNDING CORP",NC
0000889604,6189,"FLEET CREDIT CARD MASTER TRUST",PA
0000889668,6189,"John Deere Receivables, Inc.",NV
0000890175,6189,"CONSECO FINANCE CORP",MN
0000890493,6189,"FIRST USA CREDIT CARD MASTER TRUST",DE
0000890965,6189,"ALLEN TEST DR I",MD
0000890975,6189,"AMERICAN HONDA RECEIVABLES LLC",CA
0000891317,6189,"AUTOMOBILE CREDIT FINANCE INC",TX
0000892286,6189,"PRIME RECEIVABLES CORP",OH
0000892287,6189,"PRIME CREDIT CARD MASTER TRUST",OH
0000892707,6189,"DISCOVER CARD TRUST 1992 A",DE
0000892833,6189,"ARGENT CAPITAL CORP",NV
0000892973,6189,"HONDA AUTO RECEIVABLES 1992-A GRANTOR TRUST",CA
0000892994,6189,"BOULEVARD AUTO TRUST 1992-1",IL
0000893331,6189,"FIRST CONSUMERS MASTER TRUST",NY
0000893709,6189,"Bank of Scotland plc",X0
0000893868,6189,"CITIBANK NEW YORK STATE",NY
0000893958,6189,"CAPITAL AUTO RECEIVABLES LLC",DE
0000894327,6189,"DISCOVER BANK",DE
0000894329,6189,"DISCOVER CARD MASTER TRUST I",DE
0000894344,6189,"DISCOVER CARD TRUST 1992-B",DE
0000894356,6189,"STRUCTURED PRODUCTS CORP",NY
0000894360,6189,"WHOLESALE AUTO RECEIVABLES LLC",DE
0000894377,6189,"CORESTATES BANK N A /PA",PA
0000894378,6189,"NEW JERSEY NATIONAL BANK /NJ",NJ
0000894654,6189,"FREMONT FUNDING INC",CA
0000895035,6189,"SECURITIZED ASSET SALES INC",MD
0000895472,6189,"MERRILL LYNCH MUNICIPAL ABS INC",NY
0000895656,6189,"AUTO FUNDING II L P",NY
0000895730,6189,"FUND AMERICA INVESTORS CORP II",CO
0000895731,6189,"CMC SECURITIES CORP II",TX
0000896244,6189,"DISCOVER CARD TRUST 1993-A",DE
0000896245,6189,"DISCOVER CARD TRUST 1993-B",DE
0000896328,6189,"FORD CREDIT 1993-A GRANTOR TRUST",MI
0000896982,6189,"ARCADIA RECEIVABLES FINANCE CORP",TX
0000897433,6189,"WACHOVIA SBA LENDING INC SERIES 1999-1",NJ
0000897434,6189,"MONEY STORE OF NEW YORK INC",CA
0000897505,6189,"HYUNDAI AUTO RECEIVABLES TRUST 1993-A",CA
0000897845,6189,"SUPERIOR BANK FSB",IL
0000897897,6189,"EQCC RECEIVABLES CORP",FL
0000897898,6189,"EQCC ASSET BACKED CORP",FL
0000899287,6189,"PROVIDIAN NATIONAL BANK",NH
0000899290,6189,"CHASE USA MASTER TRUST",DE
0000900472,6189,"IMPERIAL GOVERNMENT INCOME TRUST SERIES I",CA
0000901488,6189,"UCFC ACCEPTANCE CORP",LA
0000901833,6189,"ADVANTA MORTGAGE CONDUIT SERVICES INC",PA
0000902266,6189,"NOMURA SECURITIES INTERNATIONAL INC",NY
0000904016,6189,"ZIONS FIRST NATIONAL BANK /USA/",UT
0000905030,6189,"HOST MARRIOTT HOSPITALITY INC",MD
0000905604,6189,"BANK ONE AUTO GRANTOR TRUST 1997-A",TX
0000906111,6189,"PEOPLES BANK",CT
0000906286,6189,"DLJ MOR ACCEP CORP MUL FAMI MOR PASS THRO CERT SER 1992-MF3",NY
0000906327,6189,"HOUSEHOLD AFFINITY FUNDING CORP",IL
0000906328,6189,"HOUSEHOLD FINANCE CORP HOUSEHOLD AFF CRE CAR MAS TR I",IL
0000906410,6189,"CWMBS INC",CA
0000906521,6189,"MORTGAGE CAPITAL FUNDING INC",NY
0000906561,6189,"TMS MORTGAGE INC",CA
0000906938,6189,"FIRST ALLIANCE MORTGAGE CO /DE/",CA
0000908392,6189,"USAA FEDERAL SAVINGS BANK",TX
0000908599,6189,"TOYOTA MOTOR CREDIT RECEIVABLES CORP",CA
0000908603,6189,"FORD CREDIT 1993-B GRANTOR TRUST",MI
0000908987,6189,"BEAR STEARNS COMMERCIAL MORTGAGE SECURITIES INC",NY
0000909826,6189,"FIRST DEPOSIT NAT BK FIRST DEP MAS TR ASST BK CER SER 1993-2",NH
0000909962,6189,"FEDERAL MORTGAGE MANAGEMENT INC",FL
0000910224,6189,"MMCA AUTO RECEIVABLES INC",CA
0000910226,6189,"MMCA AUTO GRANTOR TRUST 1993-1",CA
0000910243,6189,"CSXT TRADE RECEIVABLES MASTER TRUST",VA
0000910869,6189,"HUNTINGTON RESIDENTIAL MORTGAGE SECURITIES INC",OH
0000911023,6189,"CHASE COMMERCIAL MORTGAGE SECURITIES CORP",NY
0000911423,6189,"DAIMLER BENZ AUTO GRANTOR TRUST 1993-A",DE
0000911703,6189,"CSX TRADE RECEIVABLES CORP",VA
0000912032,6189,"ORIENTAL FEDERAL MORTGAGE TRUST 1993-1",PR
0000912265,6189,"IBM CREDIT RECEIVABLES INC",NY
0000912541,6189,"BOMBARDIER CREDIT RECEIVABLES CORP",VT
0000912542,6189,"BOMBARDIER RECEIVABLES MASTER TRUST I",VT
0000912838,6189,"NATIONSBANK OF DELAWARE NA",AZ
0000912957,6189,"AMERICAN SOUTHWEST FINANCIAL SECURITIES CORP",AZ
0000913570,6189,"VENTURE LENDING & LEASING INC",CA
0000913951,6189,"AAMES CAPITAL CORP",CA
0000914063,6189,"CDF FLOORPLAN RECEIVABLES LP",NY
0000914064,6189,"DISTRIBUTION FINANCIAL SERVICES FLOORPLAN MASTER TRUST /NY",NY
0000915120,6189,"IBM CREDIT RECEIVABLES LEASE ASSET MASTER TRUST",NY
0000916095,6189,"YAMAHA MOTOR RECEIVABLES CORP",CA
0000916745,6189,"PEOPLES BANK CREDIT CARD MASTER TRUST",CT
0000916791,6189,"CORPORATE ASSET BACKED CORP",NY
