cik,sic,company,loc
0001166353,6189,"CWMBS CHL MORT PASS THRU CERTIFICATES SERIES 2002-J1",CA
0001166354,6189,"CSFB MORTGAGED BACKED PASS THRU CERTIFICATES SERIES 2002-AR2",NY
0001166386,6189,"MORGAN STANLEY DEAN WITTER CAPITAL I INC TRUST 2001 NC3",NY
0001166390,6189,"INDYMAC ARM TRUST INDYMAC ARM GRANTOR TRUST SERIES 2001-H1",NY
0001166401,6189,"STRUCTURED ASSET SECURITIES CORP MORT PAS THR CER SE 2002-2",NY
0001166429,6189,"CHEVY CHASE AUTO RECEIVABLES TRUST 2001-3",MD
0001166437,6189,"MERRILL LYNCH DEPOSITOR INC PREFERREDPLUS SERIES QWS-3",NY
0001166520,6189,"MORGAN STANLEY DEAN WITTER CAPITAL I INC TRUST 2001 NC4",NY
0001166542,6189,"OPTION ONE MORTGAGE LOAN TR 2002-1 AS-BCKD CERT SER 2002-1",CA
0001166565,6189,"MERRILL LYNCH MORTGAGE INV INC MOR PS THR CER SER 2002-A1",MD
0001166682,6189,"MS STRUCTURED SATURNS SERIES 2002-1",NY
0001166689,6189,"FIRST HORIZON MORTGAGE PASS-THROUGH TRUST 2002-1",TX
0001166757,6189,"DAIMLERCHRYSLER AUTO TRUST 2002-B",MI
0001166758,6189,"DAIMLERCHRYSLER AUTO TRUST 2002-C",MI
0001166761,6189,"MERRILL LYNCH MORT LN ASS BKD CERTS SER 2002 AFC1",NY
0001166764,6189,"ABN AMRO MORTGAGE CORP SERIES 2002-2",IL
0001166802,6189,"MS STRUCTURED SATURNS SERIES 2002-4",NY
0001167646,6189,"CHASE MANHATTAN AUTO OWNER TRUST 2002-A",DE
0001167712,6189,"MORGAN STANLEY DEAN WITTER CAPITAL I INC SER 2002 NC1",NY
0001167863,6189,"BEAR STEARNS ARM TRUST MORTGAGE PASS THR CERTS SERIES 2002 1",MD
0001167888,6189,"MS STRUCTURED SATURNS SERIES 2002-3",NY
0001167982,6189,"BANK OF AMERICA MORTGAGE SECURITIES INC 2002-2",NC
0001167986,6189,"BANK OF AMERICA MORTGAGE SECURITIES INC 2002 B",NC
0001168012,6189,"FIRST UNION NATIONAL BANK COM MORT PAS THR CERT SER 2002 C1",NC
0001168016,6189,"LEHMAN ABS CORP ROYAL & SUN ALLIANCE BOND BACKED SER 2002 2",NY
0001168021,6189,"VANDERBILT MORT & FIN INC SENIOR SUB PAS THR CERT SER 2002 A",TN
0001168097,6189,"WAMU MORTGAGE PASS THROUGH CERTIFICATES SERIES 2002-AR3",IL
0001168181,6189,"BEAR STEARNS ARM TRUST MORTGAGE PASS THR CERTS SERIES 2002-2",MD
0001168182,6189,"WELLS FARGO MORTGAGE BACKED SECURITIES  SERIES 2002-3",MD
0001168200,6189,"WASHINGTON MUTUAL MORT SEC WAMU MOR PA TH CE SE 2002 AR2",WA
0001168208,6189,"STRUCTURED ASSET SEC CORP MORT PASS THROUGH CERT SER 2002-1A",MD
0001168214,6189,"CSFB MORTGAGE PASS THROUGH CERTIFICATES SERIES 2002-S6",NY
0001168223,6189,"WELLS FARGO MORTGAGE BACKED SECURITIES 2002-5 TRUST",MD
0001168224,6189,"WELLS FARGO MORTGAGE BACKED SECURITIES 2002-A TRUST",MD
0001168240,6189,"NEW CENTURY HOME EQUITY LOAN TRUST SERIES 2002-1",CA
0001168242,6189,"SENIOR SUBORDINATED PASS THROUGH CERTIFICATES SERIES 2002-A",NV
0001168244,6189,"WAMU MORTGAGE PASS THROUGH CERTIFICATES SERIES 2002-S2",WA
0001168310,6189,"CWMBS INC MORT PASS THROUGH CERT SERIES 2002-2",CA
0001168331,6189,"CSFB MORTGAGE BACKED PASS THRU CERTS 2002-7",NY
0001168356,6189,"RESIDENTIAL ASSET MORT PROD GMACM MORT PT CERT SER 2002-J1",MN
0001168357,6189,"ONYX ACCEPTANCE OWNER TRUST 2002-A",CA
0001168359,6189,"CSFB MORTGAGE PASS THROUGH CERTIFICATES SERIES 2002 HE4",NY
0001168370,6189,"MORTGAGE ASSET SEC TRANS INC MORT PASS THR CER SER 2002-1",NY
0001168376,6189,"MORTGAGE ASSET SEC TRANS INC MORT PASS THR CERT SER 2002 1",NY
0001168377,6189,"STRUCTURED ASSET SEC CORP MORT PAS THR CERT SER 2002 4H",NY
0001168428,6189,"BANK OF AMERICA MORT SEC INC MORT PASS THR CERT SER 2002-A",NC
0001168429,6189,"STRUCTURED ASSET SEC CORP MORT PASS THR CERT SER 2002-3",NY
0001168439,6189,"BANK OF AMERICA MORT SEC INC MORT PASS THR CERT SER 2002-1",NC
0001168452,6189,"C BASS MORTGAGE LOAN ASSET BACKED CERTS SER 2002 CB1",NC
0001168480,6189,"CREDIT SUISSE FIRST BOSTON MORT ACCEPT CORP SERIES 2002-5",NY
0001168564,6189,"BEAR STEARNS ASSET BACKED SEC TR ASSET BACK CER SER 2002-AC1",MD
0001168574,6189,"BEAR STEARNS COMMERCIAL MORTGAGE SECURITIES TRUST 2002 TOP6",MD
0001168579,6189,"CSFB MORT SEC CORP COMM MORT PAS THR CERT SER 2002 CKP1",NY
0001168639,6189,"CHASE CREDIT CARD OWNER TRUST 2002-1",DE
0001168655,6189,"LEHMAN ABS CORP CORPORATE BACKED TRUST CERT 2002-3",NY
0001168657,6189,"REVOLVING HOME EQUITY LOAN ASSET BACKED NOTES SERIES 2002 B",CA
0001168661,6189,"CREDIT SUISSE FIRST BOSTON MORT PASS THR CERT SER 2002-HE1",NY
0001168781,6189,"UACSC 2002-A OWNER TRST AUTO RECEIVABLE BACK NT",FL
0001168861,6189,"WESTPAC SECURITISATION MGT PTY LTD SERIES 2002-1G WST TRUST",C3
0001168862,6189,"ABN AMRO MORTGAGE CORP SERIES 2002-3",IL
0001168888,6189,"STRUCTURED ASSET SEC CORP MORT PASS THR CERT SER 2002-BC1",NY
0001168950,6189,"STRUCTURED ASSET SEC CORP PASS THROUGH CERT SERIES 2002-AL1",NY
0001168964,6189,"MORGAN STANLEY DEAN WITTER CAP I INC DEP SERIES 2002-HQ","  "
0001169006,6189,"NATIONAL CITY AUTO RECEIVABLES TRUST 2002-A",OH
0001169073,6189,"OPTION ONE MORTGAGE LOAN TR ASSET BACKED  CERT SER 2002-2",CA
0001169356,6189,"MERRILL LYNCH DEPOSITOR INC PREFERREDPLUS TRUST SERIES ELP 1",NY
0001169369,6189,"STRUCTURED ASSET SECURITIES CORP LB-UBS COMM MORT TR 2002-C1",NY
0001169372,6189,"EQCC TRUST 2002-1",FL
0001169461,6189,"MASTR ASSET SECURITIZATION TRUST 2002-1",MD
0001169463,6189,"GMAC COMMERCIAL MORTGAGE SEC INC MRT PS THR CERT SER 2002-C1",MD
0001169573,6189,"SAXON ASSET SECURITIES TRUST 2002-1",VA
0001169601,6189,"LEHMAN ABS CORP CORP BACKED TR CERT SER 2002-4",NY
0001169735,6189,"RESIDENTIAL ASSET MORTGAGE PROD GMACM HO EQ LN SE 2002-HE2",MN
0001169736,6189,"WELLS FARGO MORTGAGE BACKED SECURITIES 2002 6 TRUST",MD
0001169764,6189,"MELLON RESIDENTIAL FUNDING CORP MOR PS THR CER SER 2002 TBC1",PA
0001169855,6189,"BANK OF AMERICA MORTGAGE SEC INC MORT PS THR CERT SER 2002-3",NC
0001169880,6189,"ORIGEN MANUFACTURED HOUSNG CNT SEN/SUB  AS-BCK CRT SR 2002-A",NY
0001169893,6189,"WAMU MORTGAGE PASS-THROUGH CERTIFICATE SERIES 2002-AR4",IL
0001169899,6189,"AAMES CAPITAL CORP AAMES MORTGAGE TRUST 2002-1",CA
0001169909,6189,"CHASE CREDIT CARD OWNER TRUST 2002-2",DE
0001169993,6189,"PASS THROUGH CERTIFICATES SERIES 2002-MS2",IL
0001170024,6189,"BEAR STEARNS DEPOSITOR INC TRUST CERTS SER 2002 1",NY
0001170066,6189,"WELLS FARGO MORTGAGE BACKED SECURITIES 2002 7 TRUST",MD
0001170071,6189,"SLC STUDENT LOAN ASSET BACKED NOTES SERIES 2002-1","  "
0001170075,6189,"RENAISSANCE HOME EQUITY LOAN ASSET-BKD CERT SERIES 2002-1",NY
0001170079,6189,"WASHINGTON MUTUAL MSC MORTGAGE PASS-THR CERT SER 2002-AR1",IL
0001170162,6189,"STRUCTURED ASSET SEC CORP MORT PAS THR CERT SER 2002 5A",NY
0001170165,6189,"CWABS INC ASSET BACKED CERTIFICATES SERIES 2002 1",CA
0001170174,6189,"CIT HOME EQUITY LOAN TRUST 2002-1",NY
0001170183,6189,"NOVASTAR MORTGAGE FUNDING TRUST SERIES 2002-1",KS
0001170188,6189,"FLEET CREDIT CARD FUNDING TRUST",DE
0001170208,6189,"THORNBURG MORTGAGE SEC TR 2002-1 MRT LN PS THR CRT SR 2002-1",CA
0001170211,6189,"CSFB MORTGAGE BACKED PASS THR CERT SER 2002 9",NY
0001170314,6189,"CSFB MORTGAGE BACKED PASS THROUGH CERT SERIES 2002-AR8",NY
0001170315,6189,"CWMBS INC CHL MORTGAGE PASS THROUGH TRUST 2002 3",CA
0001170317,6189,"CWMBS INC MORTGAGE PASS THROUGH CERTIFICATES SERIES 2002 6",CA
0001170318,6189,"CWABS INC REVOLVING HOME EQ LN AST BCKD NOTES SER 2002 B",CA
0001170320,6189,"CWMBS INC CHL MORTGAGE PASS THROUGH TRUST 2002 7",CA
0001170321,6189,"CWMBS INC CHL MORTGAGE PASS THROUGH TRUST 2002 5",CA
0001170322,6189,"CWMBS INC MORTGAGE PASS THROUGH CERTIFICATES SERIES 2002 4",CA
0001170323,6189,"STRUCTURED ASSET SECURITIES CORP MORT PASS THR CERT SER 2002",NY
0001170372,6189,"LEHMAN ABS CORP GEN ELEC CAP SERVICES NOTE BACKED SER 2002 5",NY
0001170377,6189,"HOUSEHOLD REVOLVING HOME EQUITY LOAN TRUST 2001-1",IL
0001170379,6189,"HOUSEHOLD REVOLVING HOME EQUITY LOAN TRUST 2001-2",IL
0001170380,6189,"HSBC PRIVATE LABEL CREDIT CARD MASTER NOTE TRUST (USA) I",DE
0001170387,6189,"BEAR STEARNS ASSET BACKED SECURITIES TRUST 2002-1",NY
0001170389,6189,"CWABS INC REVOLVING HOME EQ LOAN ASSET BCKD NOTES SER 2002 C",CA
0001170619,6189,"GE CAPITAL COMMERCIAL MORT CORP MORT PAS-THR CER SER 2002-1",CT
0001170620,6189,"INDY MAC ABS INC HOME EQUITY MOR LN AS BK TR SER SPMD 2002-A",CA
0001170788,6189,"BEAR STEARNS AST BCK SEC INC MADISON AVE TRUST 2002-A",NY
0001170795,6189,"FIRST HORIZON MORTGAGE PASS THROUGH TRUST 2002 2",TX
0001170868,6189,"AMERICREDIT AUTOMOBILE RECEIVABLES TRUST 2002-A",TX
0001170872,6189,"AMERICREDIT AUTOMOBILE RECEIVABLES TRUST 2002-1",TX
0001171033,6189,"NISSAN AUTO RECEIVABLES 2002 B  OWNER TRUST",CA
0001171040,6189,"FIRST NATIONAL FUNDING LLC","  "
0001171106,6189,"LEHMAN ABS CORP KINDER MORGAN DEBEN BACKED SER 2002-6",NY
0001171484,6189,"JP MORGAN CHASE COMM MORT PASS THR CERTS SER 2002 CIBC4",MA
0001171628,6189,"DAIMLERCHRYSLER AUTO TRUST 2002 A",MI
0001171851,6189,"CREDIT SUISSE FIRST BOSTON ABS TRUST 2002-MH3",NY
0001171948,6189,"WAMU MORTGAGE PASS THRU CERTS SERIES  2002-ARS",WA
0001171960,6189,"MORGAN STANLEY DEAN WITTER CAPITAL I INC TRUST 2002 AM2",CA
0001172055,6189,"MORTGAGE PASS THROUGH CERTIFICATES SERIES 2002-5",NC
0001172062,6189,"MORTGAGE PASS THROUGH CERTIFICATES SERIES 2002-C",NC
0001172090,6189,"ABN AMRO MORTGAGE CORP SERIES 2002-4",IL
0001172104,6189,"COLLEGE LOAN CORP TRUST I",DE
0001172143,6189,"BANK OF AMERICA MORT SEC INC MORT PASS THR CERT SER 2002-4",NC
0001172207,6189,"SALOMON MORTGAGE LOAN TRUST SER 2002-UST1 MORT PASS-THR CERT",NY
0001172231,6189,"OPTION ONE MORT ACCEPT CORP ASSET BACKED CERT SER 2002-3",CA
0001172235,6189,"WELLS FARGO MORTGAGE BACKED SECURITIES 2002-8 TRUST",MD
0001172299,6189,"EQUITY ONE ABS INC MORTGAGE PASS THRU CERT SERIES 2002-2",DE
0001172300,6189,"WASHINGTON MUTUAL MORT SEC CORP MORT PAS THR CER SE 2002-MS3",IL
0001172311,6189,"MORGAN STANLEY DEAN WITTER CAPITAL I INC TRUST 2002-NC2",NY
0001172410,6189,"BEAR STEARNS ASSET BACKED SEC TR ASSET BACK CERT SER 2002-1",MD
0001172411,6189,"BEAR STEARNS ARM TRUST MORTGAGE PASS THR CERT SERIES 2002-3",MD
0001172412,6189,"BEAR STEARNS ALT A TR MORTGAGE PASS THR CERT SERIES 2002-1",MD
0001172415,6189,"CSFB MORTGAGE BACKED PASS THROUGH CERTS SER 2002 AR17",NY
0001172422,6189,"CHL MORTGAGE PASS THROUGH TRUST SERIES 2002 J2",CA
0001172424,6189,"COUNTRYWIDE HOME LOANS MORT PASS THR CERTS SER 2002 8",CA
0001172429,6189,"STRUCTURED ASSET MORTGAGE INVEST PASS THRO CERT SER 2002-3",NY
0001172433,6189,"MORTGAGE ASSET SEC TRANS INC MORT PAS THR CERTS SER 2002 2",NY
0001172434,6189,"STRUCTURED ASSET SEC CORP MORT PASS THR CERTS SER 2002 7",NY
0001172435,6189,"CSFB MORTGAGE PASS THROUGH CERTIFICATES SERIES 2002 HE11",NY
0001172436,6189,"STRUCTURED ASSET SECURITIES CORP MORT BACK NOTES SER 2002 9",NY
0001172482,6189,"ASSET BACKED CERTIFICATES SERIES 2002-S1",CA
0001172492,6189,"STRUCTURED ASSET SEC CORP MORT PASS THR CERT SER 2002-BC2",NY
0001172493,6189,"STRUCTURED ASSET SECURITIES CORP MOR PAS THR CER SER 2002-8A",NY
0001172510,6189,"CWABS INC ASSET BACKED CERTIFICATES SERIES 2002 BC2",CA
0001172511,6189,"CSFB MORTGAGE BACKED PASS THROUGH CERTIFICATES SER 2002 10",NY
0001172547,6189,"C BASS MORTGAGE LOAN ASSET BACKED CERTS SER 2002 CB2",CT
0001172577,6189,"CHASE MANHATTAN AUTO OWNER TRUST 2002-B",DE
0001172633,6189,"HOUSEHOLD HOME EQUITY LOAN TRUST 2002-1",IL
0001172634,6189,"HOUSEHOLD AUTOMOTIVE TRUST 2001-3",IL
0001172637,6189,"RESIDENTIAL ASSET MORT PRODUCTS GMACM MO LOANTR SE 2002-GH 1",MN
0001172794,6189,"MS STRUCTURED SATURNS SERIES 2002-5",NY
0001172892,6189,"LEHMAN ABS CORP AT&T WIRELESS SERV NOTE BACK SER 2002 7",NY
0001173214,6189,"CSFB MORTGAGE BACKED PASS THROUGH CERTIFICATES SER 2002-AR13",NY
0001173294,6189,"BMW VEHICLE OWNER TRUST 2002-A",NJ
0001173466,6189,"ABFC ASSET BACKED CERTIFICATES SERIES 2002-SB1",NC
0001173467,6189,"ABFC ASSET BACKED CERTIFICATES SERIES 2002-SB1",NC
0001173474,6189,"ABFC ASSET BACKED CERTIFICATES SERIES 2002-SB1",NC
0001173700,6189,"HONDA AUTO RECEIVABLES 2002-2 OWNER TRUST",CA
0001173723,6189,"BANC OF AMERICA COMMERCIAL MORT PASS THR CERTS SER 2002-PB2",NC
0001173740,6189,"ALLIANCE SECURITIES CORP.",CA
0001173898,6189,"FINANCIAL ASSETS SEC CORP FIRST FRANK MORT LN TR 2002-FF1",CT
0001173899,6189,"HOUSEHOLD AUTOMOTIVE TRUST 2002-1",IL
0001173900,6189,"HOUSEHOLD MORTGAGE FUNDING CORP III",IL
0001173901,6189,"LEHMAN ABS CORP BELLSOUTH DEB BCKD SER 2002-8",NY
0001173925,6189,"PREFERREDPLUS TRUST SERIES MSD-1",NY
0001173936,6189,"WACHOVIA COMMERCIAL MORT PASS THRU CERT SER 2002 C1",NC
0001173943,6189,"TOYOTA AUTO RECEIVABLES 2002-B OWNER",CA
0001174114,6189,"PERMANENT FINANCING NO 1 PLC",X0
0001174117,6189,"PERMANENT FUNDING NO 1 LTD",X0
0001174208,6189,"CHASE CREDIT CARD OWNER TRUST 2002-3",DE
0001174251,6189,"BANK OF AMERICA MORT SEC INC MORT PASS THR CERT SER 2002 D",NC
0001174256,6189,"WELLS FARGO ASSET SECURITIES CORP MORT BK SEC 2002-10 TRUST",MD
0001174257,6189,"BANK OF AMERICA MORT SEC INC MORT PASS THRU CERT SER 2002-E",NC
0001174277,6189,"WELLS FARGO ASSET SEC CORP MORT BK SEC  2002-11 TRUST",MD
0001174298,6189,"MORTGAGE PASS THROUGH CERTIFICATES SERIES 2002-1",MD
0001174299,6189,"WAMU MORTGAGE PASS THROUGH CERTIFICATES SERIES 2002-S3",IL
0001174300,6189,"WAMU MORTGAGE PASS THROUGH CERTIFICATES SERIES 2002-S4",NY
0001174396,6189,"MERRILL LYNCH MORT INVEST INC MORT PAS THR CERT SER 2002-NC1","  "
0001174433,6189,"PASS THROUGH CERTIFICATES SERIES 2002-MS4",WA
0001174438,6189,"OAKWOOD MORTGAGE INVESTORS INC OMI TRUST 2002-B",NV
0001174444,6189,"HOME EQ LOAN TRUST SER 2002 CIT1 ASST BACK PASS THRU CERTS",NY
0001174445,6189,"FLOATING RATE AUTO DEALER LOAN ASSET BACK NT SER 2002-A",MI
0001174458,6189,"WELLS FARGO MORTGAGE BACKED SECURITIES 2002-B TRUST",MD
0001174460,6189,"STRUCTURED ASSET SEC CORP MOR PASS THRU CER SER 2002-10H",NY
0001174464,6189,"WASHINGTON MUTUAL MOR SEC CORP MOR PS THRU CER SER 2002-AR6",WA
0001174471,6189,"BEAR STEARNS ARM TRUST MORTGAGE PASS THR CERT SERIES 2002-4",MD
0001174472,6189,"BEAR STEARNS ASSET BCK SEC TR AS-BCK CER SER 2002-AC2",MD
0001174474,6189,"MORGAN STANLEY DEAN WITTER CAPITAL I SERIES 2002 TOP7",NY
0001174497,6189,"CSFB MORTGAGE PASS THROUGH CERTIFICATES SERIES 2002 HE16",NY
0001174499,6189,"ONYX ACCEPTANCE OWNER TRUST 2002-B",CA
0001174519,6189,"ASSET BACKED PASS THROUGH CERTIFICATES SERIES 2002 HE2",NY
0001174535,6189,"WELLS FARGO MORTGAGE BACKED SECURITIES 2002 9 TRUST",MD
0001174558,6189,"CWABS INC CHL MORTGAGE PASS THRU TRUST 2002-HYB1",CA
0001174559,6189,"LEHMAN ABS CORP NEWS AMERICA DEBENTURE BK SE 2002-9 CL A-1",NY
0001174564,6189,"CWMBS INC ALTERNATIVE LOAN TRUST 2002 6",CA
0001174565,6189,"CWMBS INC CHL MORTGAGE PASS THROUGH TRUST 2002 9",CA
0001174568,6189,"CSFB MORTGAGE BACKED PASS THROUGH CERTS SER 2002 18",NY
0001174569,6189,"CSFB MORTGAGE BACKED PASS THROUGH CERTS SERIES 2002 18",NY
0001174614,6189,"STRUCTURED ASSET SEC CORP PASS THR CERT SER 2002 BC3",NY
0001174626,6189,"AMERICREDIT AUTOMOBILE RECEIVABLES TRUST 2002-B","  "
0001174629,6189,"STRUCTURED ASSET SEC CORP MORT PASS THR CERT SER 2002 HF1",NY
0001174646,6189,"THORNBURG MORTGAGE SECURITIES TRUST 2002-2",NY
0001174706,6189,"MASTR ADJUSTABLE RATE MORTGAGES TRUST 2002-2",NY
0001174711,6189,"CHL MORTGAGE PASS-THROUGH TRUST 2002-HYB1",CA
0001174819,6189,"AEGIS ASSET BACKED SECURITIES CORP","  "
0001174821,6189,"CHASE ISSUANCE TRUST",DE
0001174852,6189,"INTERSTAR SECURITISATION MANAGEMENT PTY LTD","  "
0001174887,6189,"STRUCTURED ASSET SECURITIES CORP MORT PAS-THR CERT SER 2002-",NY
0001174923,6189,"LEHMAN ABS CORP CORP BACK TR AIG DEBENTURE BCK SER 2002 10",NY
0001174945,6189,"LEHMAN ABS CORP ROYAL & SUN ALLIANCE BOND BACKED SER 2002 11",NY
0001175002,6189,"OPTION ONE MORTGAGE ACCEPT CORP ASSET BACKED CER SER 2002-4",CA
0001175020,6189,"MORGAN STANLEY DEAN WITTER CAPITAL I INC SERIES 2002 IQ2",NY
0001175140,6189,"FIRST HORIZON MORTGAGE PASS THROUGH TRUST 2002-3",TX
0001175209,6189,"MS STRUCTURED SATURNS SERIES 2002-7",NY
0001175210,6189,"EQUITY ONE ABS INC MORTGAGE PASS THRU CERT SERIES 2002-3",DE
0001175378,6189,"CHASE CREDIT CARD OWNER TRUST 2002-4",DE
0001175432,6189,"CARMAX AUTO OWNER TRUST 2002-1",VA
0001175532,6189,"CSFB MORTGAGE PASS THRU CERT SERIES 2002-S12","  "
0001175598,6189,"CSFB COMMERCIAL MORTGAGE BACKED PASS THR CERTS SER 2002 CKN2",NY
0001175634,6189,"MS STRUCTURED SATURNS SERIES 2002-6",NY
0001175834,6189,"LEHMAN ABS CORP MOTOROLA DEBENTURE BACKED SERIES 2002 12",NY
0001175894,6189,"STRUCTURED ASSET SEC CORP COMM MORT PAS THR CERT SER 2002-C2",NY
0001175930,6189,"HFC REVOLVING CORP HOUSEHOLD HOME EQUITY LOAN TRUST 2002-2",IL
0001175952,6189,"SENIOR SUBORNATED PASS THROUGH CERTIFICATES SERIES 2002-B",NC
0001175983,6189,"SOLOMON MORTGAGE LN TR SER 2002-CB3 C-BASS MRT LN AS BCK CER",NY
0001176128,6189,"WASHINGTON MUTUAL MORT SEC CORP WAMU MO PA TH CE SE 02 AR7",IL
0001176177,6189,"VANDERBILT MORTGAGE & FIN INC SEN SUB PA TH CERT SER 2002-1",TN
0001176178,6189,"MERRILL LYNCH MORT INV INC COM MRT PAS THR CERT SER 2002 MW1",NY
0001176235,6189,"CDC COMMERCIAL MORTGAGE TRUST 2002-FX1",NY
0001176242,6189,"RESIDENTIAL ASSET MORT PROD INC RAMP SERIES 2002-RS3 TRUST",MN
0001176262,6189,"CORE BOND PRODUCTS LLC","  "
0001176263,6189,"WELLS FARGO ASSET SECURITIES CORP MORT BKD SEC 2002-9 TRUST",MD
0001176264,6189,"BANK OF AMERICA MORTGAGE SEC INC MOR PA TH CERT SER 2002-F",NC
0001176265,6189,"BANK OF AMERICA MORTGAGE SEC INC MOR PA TH CERT SER 2002-6",NC
0001176267,6189,"ALLSTATE LIFE GLOBAL FUNDING",NC
0001176289,6189,"WELLS FARGO ASSET SEC CORP MORT PASS THR CERT SER 2002-12",MD
0001176315,6189,"COMPASS ASSET ACCEPTANCE CO","  "
0001176318,6189,"NOVASTAR MORTGAGE FUNDING CORP SERIES 2002-2",KS
0001176320,6189,"SEQUOIA RESIDENTIAL FUNDING INC",CA
0001176322,6189,"COLLATERALIZED ASSET-BACKED BONDS SERIES 2002-3",CA
0001176327,6189,"CREDIT SUISSE FIRST BOSTON MOR SEC CORP SERIES 2002-1",NY
0001176329,6189,"BEAR STEARNS ASSET BACKED SEC IRWIN HM EQ LN TR 2002-1",NY
0001176335,6189,"MMCA AUTO OWNER TRUST 2002-3",CA
0001176341,6189,"CREDIT SUISSE FST BOSTON MT SEC CO HM EQ AS TR  CT SR 2002-1",NY
0001176345,6189,"BANK OF AMERICA MORT SEC INC MORT PASS THR CERT SER 2002 G",NC
0001176348,6189,"RENAISSANCE HOME EQU LN TR HM EQU LN AS BKD CRT SR 2002-2",MD
0001176349,6189,"IMPAC SECURED ASSETS CORP MORTGAGE PASS THR CERT SER 2002-3",CA
0001176350,6189,"WFS FINANCIAL 2002-1 OWNER TRUST",NV
0001176351,6189,"WFS FINANCIAL 2002-2 OWNER TRUST",NV
0001176365,6189,"CIT HOME EQUITY TRUST 2002-2",NY
0001176369,6189,"MMCA AUTO RECEIVABLES TRUST II",CA
0001176370,6189,"CENDANT MORTGAGE CAPITAL CDMC MORT PASS THR CERT SER 2002-4",NJ
0001176371,6189,"STRUCTURED ASSET MORTGAGE INVEST MORT PA THR CE SER 2002-AR2",MD
0001176391,6189,"BEAR STEARNS ASSET BACKED SEC INC IR WH LN HM EQ TR 2002-A",NY
0001176394,6189,"MERRILL LYNCH MORT INV INC MORT PAS TH CRT MLMI SER 2002 A2",NY
0001176434,6189,"WELLS FARGO MORTGAGE BACKED SECURITIES 2002-13 TRUST",MD
0001176456,6189,"MORGAN STANLEY DEAN WITTER CAPITAL I INC TRUST 2002-HE1",NY
0001176457,6189,"BEAR STEARNS ARM TRUST 2002-7",NY
0001176458,6189,"CWMBS INC MORTGAGE PASS THROUGH CERTIFICATES SERIES 2002 13",CA
0001176459,6189,"CWMBS INC MORTGAGE PASS THROUGH CERTIFICATES SERIES 2002 14",CA
0001176460,6189,"CWMBS INC CHL MORTGAGE PASS THROUGH TRUST 2002 12",CA
0001176465,6189,"CSFB MORTGAGED BACKED PASS THROUGH CERT SER 2002-AR21",NY
0001176512,6189,"BEAR STEARNS ASSET BACKED SEC INC ASST BK CERT SER 2002-AC3",NY
0001176513,6189,"RESIDENTIAL ASSET MORT PROD GMACM MOR PT CER SER 2002-J4",MN
0001176519,6189,"CWABS INC ASSET BACKED CERTIFICATES SERIES 2002 S2",CA
0001176537,6189,"RESIDENTIAL ASSET MORT PRODUCT GMACM MORT PT CERTS SER 02-J3",MN
0001176581,6189,"STRUCTURED ASSET SEC CORP MORT PASS THR CERT SER 2002 14A",NY
0001176586,6189,"CREDIT SUISSE FIRST BOSTON MORT BACK PS THR CERT SER 2002-19",NY
0001176587,6189,"GS MORTGAGE SECURITIES CORP MORT PAS THR CERTS SER 2002 6F",NY
0001176588,6189,"CWMBS INC MORTGAGE PASS THR CERT SER 2002-11",CA
0001176867,6189,"RESIDENTIAL ASSET MORT PROD GMACM MORT PT CERT SER 2002-J2",MN
0001176935,6189,"CWABS INC ASSET BACKED CERTIFICATES SERIES 2002-2",CA
0001176972,6189,"HOUSEHOLD MORTGAGE LOAN TRUST 2002 HC1",IL
0001176973,6189,"MORTGAGE ASSET SEC TRANS INC MORT PASS THR CERT SER 2002-3",NY
0001176976,6189,"CWABS INC REVOLVING HOME EQ LOAN ASSET BKD NOTES SER 2002 D",CA
0001176986,6189,"STRUCTURED ASSET SECURITIES CORP MOR PA TH CE SE 2002-13",NJ
0001176987,6189,"BEAR STEARNS ARM TRUST MORTGAGE PASS THRU CERT SERS 2002-5","  "
0001176988,6189,"BEAR STEARNS ARM TRUST MORTGAGE PASS THRU CERT SERS 2002-6","  "
0001176996,6189,"CWABS INC REVOLVING HOME EQUITY LOAN AS BKD SEC SE 2002-A",CA
0001177026,6189,"CHASE CREDIT CARD OWNER TRUST 2002-5",DE
0001177045,6189,"STRUCTURED ASSET SEC CORP MORT PASS THR CERTS SER 2002 BC4",NY
0001177087,6189,"SAXON ASSET SECURITIES TRUST 2002-2",CA
0001177097,6189,"MS STRUCTURED SATURNS SERIES 2002-8",NY
0001177295,6189,"BANK OF AMERICA MORTGAGE SEC MORT PAS THR CERT SER 2002 6",NC
0001177332,6189,"BANCCAP ASSET SECURIZATION ISSUANCE CORP",IL
0001177424,6189,"ACE SECURITIES CORP HOME EQUITY LOAN TRUST 2002- HE1",NC
0001177851,6189,"ABFS MORTGAGE LOAN TRUST 2002-2 MTG PASS THR CERT SER 2002-2",NY
0001177891,6189,"HONDA AUTO RECEIVABLES 2002-3 OWNER TRUST",CA
0001177914,6189,"GRANITE MORTGAGES 02-2 PLC",X0
0001177918,6189,"LEHMAN ABS CORP CORPORATE BACKED TRUST CERTS 2002-14",NY
0001177974,6189,"MASTER CHRYSLER FINANCIAL OWNER TRUST",MI
0001178049,6189,"USAA ACCEPTANCE LLC",TX
0001178405,6189,"MERRILL LYNCH DEPOSITOR INC PREFERREDPLUS TRUST SERIES VER-1",NY
